tweetid	tweet	tokens	langid	sentiment
11	¡Ha estado genial el directo en YouNow! Gracias a todos los que habéis estado por ahí. 😍	['¡', 'Ha', 'estado', 'genial', 'el', 'directo', 'en', 'YouNow', '!', 'Gracias', 'a', 'todos', 'los', 'que', 'habéis', 'estado', 'por', 'ahí', '.', '😍']	['other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'other']	positive
12	A comer en @rubytuesday @NEGROPR76 #yummy	['A', 'comer', 'en', '@rubytuesday', '@NEGROPR76', '#yummy']	['lang2', 'lang2', 'lang2', 'other', 'other', 'lang1']	positive
13	RT @marimaroliva96: La familia de @tadanaa @farianav son GOALS ❤️	['RT', '@marimaroliva96', ':', 'La', 'familia', 'de', '@tadanaa', '@farianav', 'son', 'GOALS', '❤', '️']	['other', 'other', 'other', 'lang2', 'lang2', 'lang2', 'other', 'other', 'lang2', 'lang1', 'other', 'other']	positive
14	Que HP se siente saber que ese tweet es para uno.	['Que', 'HP', 'se', 'siente', 'saber', 'que', 'ese', 'tweet', 'es', 'para', 'uno', '.']	['lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'lang2', 'lang2', 'lang2', 'other']	positive
15	"yo odio las personas que te tuitean ""textea"", idiota, en vez de tuitiarme, textéame lo que me quieres decir y ya gosh"	"['yo', 'odio', 'las', 'personas', 'que', 'te', 'tuitean', '""', 'textea', '""', ',', 'idiota', ',', 'en', 'vez', 'de', 'tuitiarme', ',', 'textéame', 'lo', 'que', 'me', 'quieres', 'decir', 'y', 'ya', 'gosh']"	['lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'other', 'other', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1']	negative
16	RT @silvanaarias: 💋 RT @socialpoli: Desde la limo @silvanaarias tuiteando en vivo a sus seguidores Stylist @Angieestilo @BillboardsMX http:…	['RT', '@silvanaarias', ':', '💋', 'RT', '@socialpoli', ':', 'Desde', 'la', 'limo', '@silvanaarias', 'tuiteando', 'en', 'vivo', 'a', 'sus', 'seguidores', 'Stylist', '@Angieestilo', '@BillboardsMX', 'http', ':', '…']	['other', 'other', 'other', 'other', 'other', 'other', 'other', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'other', 'other', 'other', 'other', 'other']	positive
17	Team La Gatita y El Zol 106.7 fm junto con Bud Light http://t.co/iS7qbL9DQq	['Team', 'La', 'Gatita', 'y', 'El', 'Zol', '106.7', 'fm', 'junto', 'con', 'Bud', 'Light', 'http://t.co/iS7qbL9DQq']	['lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'ambiguous', 'lang2', 'lang2', 'ne', 'lang1', 'other']	positive
18	🌷🌷🌷 Blusa de flores disponible en tallas small medium y large. #Enjoy your day! Pedidos a domicilio: 0968807384 http://t.co/9eA0uvGYW6	['🌷🌷🌷', 'Blusa', 'de', 'flores', 'disponible', 'en', 'tallas', 'small', 'medium', 'y', 'large', '.', '#Enjoy', 'your', 'day', '!', 'Pedidos', 'a', 'domicilio', ':', '0968807384', 'http://t.co/9eA0uvGYW6']	['other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'lang1', 'lang2', 'lang1', 'other', 'lang1', 'lang1', 'lang1', 'other', 'lang2', 'lang2', 'lang2', 'other', 'other', 'other']	positive
19	@KevMotaa Dale, este weekend creo que me voy con pal de panas acampar a Vieques.	['@KevMotaa', 'Dale', ',', 'este', 'weekend', 'creo', 'que', 'me', 'voy', 'con', 'pal', 'de', 'panas', 'acampar', 'a', 'Vieques', '.']	['other', 'lang2', 'other', 'lang2', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'ne', 'other']	neutral
20	Best dress ever! Un vestido casual ❤️  encuentro en nuestra tienda #salhuastore #allyouneedisecuador https://t.co/I5vijl122K	['Best', 'dress', 'ever', '!', 'Un', 'vestido', 'casual', '❤', '️', 'encuentro', 'en', 'nuestra', 'tienda', '#salhuastore', '#allyouneedisecuador', 'https://t.co/I5vijl122K']	['lang1', 'lang1', 'lang1', 'other', 'lang2', 'lang2', 'lang2', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'ne', 'lang1', 'other']	positive
21	#ponteenformaconlagatita  #Zumba  @aroseagirl jose4sho1 #westlandmall #zumba http://t.co/PXT2Sv2yMX	['#ponteenformaconlagatita', '#Zumba', '@aroseagirl', 'jose4sho1', '#westlandmall', '#zumba', 'http://t.co/PXT2Sv2yMX']	['lang2', 'ne', 'other', 'other', 'lang1', 'lang2', 'other']	positive
22	Me ha gustado un vídeo de @YouTube de @kronnomc (https://t.co/fFQdFomOd6 - DMC VS THE WITCHER | KRONNO & ZARCORT | BATALLA DE HEROES	['Me', 'ha', 'gustado', 'un', 'vídeo', 'de', '@YouTube', 'de', '@kronnomc', '(', 'https://t.co/fFQdFomOd6', '-', 'DMC', 'VS', 'THE', 'WITCHER', '|', 'KRONNO', '&', 'ZARCORT', '|', 'BATALLA', 'DE', 'HEROES']	['lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'other', 'other', 'other', 'other', 'ne', 'lang1', 'lang1', 'lang1', 'other', 'lang1', 'other', 'ne', 'other', 'lang2', 'lang2', 'lang2']	positive
23	Always my pleasure to be your stylist @maffio #PLN25 @Univision como siempre gracias   Super fashionable #bowties http://t.co/pKg9lsb33O	['Always', 'my', 'pleasure', 'to', 'be', 'your', 'stylist', '@maffio', '#PLN25', '@Univision', 'como', 'siempre', 'gracias', 'Super', 'fashionable', '#bowties', 'http://t.co/pKg9lsb33O']	['lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'lang1', 'other']	positive
24	"RT @mayarodriguez96: ""I just wanted to let you girls know ya'll beautiful""  Nati y yo: Lo sabemos cabrón"	"['RT', '@mayarodriguez96', ':', '""', 'I', 'just', 'wanted', 'to', 'let', 'you', 'girls', 'know', 'ya', ""'ll"", 'beautiful', '""', 'Nati', 'y', 'yo', ':', 'Lo', 'sabemos', 'cabrón']"	['other', 'other', 'other', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang2', 'lang1', 'lang1', 'other', 'ne', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2']	positive
25	@weshlyann Jaja ay baby😂	['@weshlyann', 'Jaja', 'ay', 'baby', '😂']	['other', 'lang2', 'lang2', 'lang1', 'other']	positive
26	Improvisando RAP mientras juego!! | Quake craft EP. 7 | Minecraft: https://t.co/AkQUShy5e4 vía @YouTube	['Improvisando', 'RAP', 'mientras', 'juego', '!!', '|', 'Quake', 'craft', 'EP', '.', '7', '|', 'Minecraft', ':', 'https://t.co/AkQUShy5e4', 'vía', '@YouTube']	['lang2', 'lang1', 'lang2', 'lang2', 'other', 'other', 'ne', 'lang1', 'lang1', 'other', 'other', 'other', 'lang1', 'other', 'other', 'lang2', 'other']	negative
27	Me ha gustado un vídeo de @YouTube de @kronnomc (https://t.co/DsJ7YYcNnv - COD BLACK OPS 3 ZOMBIES EPIC RAP | KRONNO ZOMBER ft.	['Me', 'ha', 'gustado', 'un', 'vídeo', 'de', '@YouTube', 'de', '@kronnomc', '(', 'https://t.co/DsJ7YYcNnv', '-', 'COD', 'BLACK', 'OPS', '3', 'ZOMBIES', 'EPIC', 'RAP', '|', 'KRONNO', 'ZOMBER', 'ft', '.']	['lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'other', 'other', 'other', 'other', 'ne', 'lang1', 'lang1', 'other', 'lang1', 'lang1', 'lang1', 'other', 'lang1', 'lang1', 'lang1', 'other']	neutral
28	¿Listo para el segundo día de #LFestival? Visítanos en el booth de Verizon. https://t.co/P9Gxp9dOa7	['¿', 'Listo', 'para', 'el', 'segundo', 'día', 'de', '#LFestival', '?', 'Visítanos', 'en', 'el', 'booth', 'de', 'Verizon', '.', 'https://t.co/P9Gxp9dOa7']	['other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'ne', 'other', 'lang2', 'lang2', 'lang2', 'lang1', 'lang2', 'ne', 'other', 'other']	neutral
29	"""Las galletas Famous Amous me recuerdan a ti"" #OficialmenteGorda"	"['""', 'Las', 'galletas', 'Famous', 'Amous', 'me', 'recuerdan', 'a', 'ti', '""', '#OficialmenteGorda']"	['other', 'lang2', 'lang2', 'lang1', 'ne', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2']	positive
30	Wow que trajes mas feos se ponen estas tipas pal prom 😹	['Wow', 'que', 'trajes', 'mas', 'feos', 'se', 'ponen', 'estas', 'tipas', 'pal', 'prom', '😹']	['lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'other']	negative
31	He muerto a lo GTA! Que épico! | BATTLE ROYALE EP.1| H1Z1: https://t.co/e9J2cLR2JE vía @YouTube	['He', 'muerto', 'a', 'lo', 'GTA', '!', 'Que', 'épico', '!', '|', 'BATTLE', 'ROYALE', 'EP', '.', '1', '|', 'H1Z1', ':', 'https://t.co/e9J2cLR2JE', 'vía', '@YouTube']	['lang2', 'lang2', 'lang2', 'lang2', 'ne', 'other', 'lang2', 'lang2', 'other', 'other', 'lang1', 'ne', 'lang1', 'other', 'other', 'other', 'other', 'other', 'other', 'lang2', 'other']	positive
32	RT @andreacasaanova: me pondria pa alguien, but they playing	['RT', '@andreacasaanova', ':', 'me', 'pondria', 'pa', 'alguien', ',', 'but', 'they', 'playing']	['other', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang1', 'lang1', 'lang1']	neutral
33	RT @PuertoRicoPUR: This Day in History: Puerto Rico's El Grito de Lares, September 23, 1868 http://t.co/jRBy9sT9xN	"['RT', '@PuertoRicoPUR', ':', 'This', 'Day', 'in', 'History', ':', 'Puerto', 'Rico', ""'s"", 'El', 'Grito', 'de', 'Lares', ',', 'September', '23', ',', '1868', 'http://t.co/jRBy9sT9xN']"	['other', 'other', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'other', 'ne', 'ne', 'lang1', 'lang2', 'lang2', 'lang2', 'ne', 'other', 'lang1', 'other', 'other', 'other', 'other']	positive
34	RT @UnivisionSports: ¡GOOOOL! Al 106' #USA anotó 1er gol por conducto de Julian Green en TE #BEL 2-1 #USA Míralo aquí @VerizonLatino http:/…	"['RT', '@UnivisionSports', ':', '¡', 'GOOOOL', '!', 'Al', '106', ""'"", '#USA', 'anotó', '1er', 'gol', 'por', 'conducto', 'de', 'Julian', 'Green', 'en', 'TE', '#BEL', '2-1', '#USA', 'Míralo', 'aquí', '@VerizonLatino', 'http', ':/', '…']"	['other', 'other', 'other', 'other', 'lang2', 'other', 'lang2', 'other', 'other', 'ne', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'ne', 'lang1', 'lang2', 'lang2', 'ne', 'other', 'lang1', 'lang2', 'lang2', 'other', 'other', 'other', 'other']	positive
35	Okey ya tengo a los ganadores!!!, en un ratito lo subo al canal!! y los que no os haya tocado no os desaniméis, ya os tocará!! ^^	['Okey', 'ya', 'tengo', 'a', 'los', 'ganadores', '!!', '!,', 'en', 'un', 'ratito', 'lo', 'subo', 'al', 'canal', '!!', 'y', 'los', 'que', 'no', 'os', 'haya', 'tocado', 'no', 'os', 'desaniméis', ',', 'ya', 'os', 'tocará', '!!', '^^']	['lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'other', 'other']	neutral
36	GM #elVacilondelaGatita https://t.co/avPWiA88pC	['GM', '#elVacilondelaGatita', 'https://t.co/avPWiA88pC']	['lang1', 'lang2', 'other']	positive
37	Koko celebrando nuestro día #nationalcatday🐱🐱🐱 #elvacilondelagatita https://t.co/TSYNjXbsTH	['Koko', 'celebrando', 'nuestro', 'día', '#nationalcatday', '🐱🐱🐱', '#elvacilondelagatita', 'https://t.co/TSYNjXbsTH']	['ne', 'lang2', 'lang2', 'lang2', 'lang1', 'other', 'lang2', 'other']	positive
38	El vlog de hoy: LA PEOR VLOGGER http://t.co/61S5942nGm	['El', 'vlog', 'de', 'hoy', ':', 'LA', 'PEOR', 'VLOGGER', 'http://t.co/61S5942nGm']	['lang2', 'lang1', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'other']	positive
39	Únete #domirriqueños #TwitterParty de 12 a 2pm  #elvacilondelagatita https://t.co/S8dOQRk50U	['Únete', '#domirrique', 'ños', '#TwitterParty', 'de', '12', 'a', '2pm', '#elvacilondelagatita', 'https://t.co/S8dOQRk50U']	['lang2', 'lang2', 'lang2', 'lang1', 'lang2', 'other', 'lang2', 'other', 'lang2', 'other']	negative
40	RT @yinan_dpg: Un date contigo no miro pal lao'	"['RT', '@yinan_dpg', ':', 'Un', 'date', 'contigo', 'no', 'miro', 'pal', 'lao', ""'""]"	['other', 'other', 'other', 'lang2', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other']	negative
41	Niños, el vlog de la vuelta de NY, lo subiré el lunes. Voy a intentar descansar este fin de semana, o moriré. AIÓ. 😑💤	['Niños', ',', 'el', 'vlog', 'de', 'la', 'vuelta', 'de', 'NY', ',', 'lo', 'subiré', 'el', 'lunes', '.', 'Voy', 'a', 'intentar', 'descansar', 'este', 'fin', 'de', 'semana', ',', 'o', 'moriré', '.', 'AIÓ', '.', '😑💤']	['lang2', 'other', 'lang2', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'ne', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'other', 'unk', 'other', 'other']	negative
42	Conseguí mis Zapatos violetas!!!!! Q sorpresa verdad!!! Omg son bellos!!!	['Conseguí', 'mis', 'Zapatos', 'violetas', '!!', '!!', '!', 'Q', 'sorpresa', 'verdad', '!!', '!', 'Omg', 'son', 'bellos', '!!', '!']	['lang2', 'lang2', 'lang2', 'lang2', 'other', 'other', 'other', 'lang2', 'lang2', 'lang2', 'other', 'other', 'lang1', 'lang2', 'lang2', 'other', 'other']	positive
43	Yo: Babe, quiero ir a un party de halloween... Martin: A un party de Halloween en mi cama sera... OK  OK  😐	['Yo', ':', 'Babe', ',', 'quiero', 'ir', 'a', 'un', 'party', 'de', 'halloween', '..', '.', 'Martin', ':', 'A', 'un', 'party', 'de', 'Halloween', 'en', 'mi', 'cama', 'sera', '..', '.', 'OK', 'OK', '😐']	['lang2', 'other', 'lang1', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'lang2', 'lang1', 'other', 'other', 'ne', 'other', 'lang2', 'lang2', 'lang1', 'lang2', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'other', 'lang1', 'lang2', 'other']	positive
44	Quisiera ser part-time bar tender	['Quisiera', 'ser', 'par', 't-t', 'ime', 'bar', 'tender']	['lang2', 'lang2', 'lang2', 'lang1', 'lang1', 'lang2', 'lang1']	positive
45	Las amo. Mis Bellas amigas y clients #premiosjuventud @pamelasilva @veronicabastos1 #backstage http://t.co/rLGMSlq5Cu	['Las', 'amo', '.', 'Mis', 'Bellas', 'amigas', 'y', 'clients', '#premiosjuventud', '@pamelasilva', '@veronicabastos1', '#backstage', 'http://t.co/rLGMSlq5Cu']	['lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'lang2', 'other', 'other', 'lang1', 'other']	positive
46	“@bobbypulido425: Feliz cumpleaños @normusic  We're getting old...” Mmm not my friend, but someone else yes!!!!	"['“', '@bobbypulido425', ':', 'Feliz', 'cumpleaños', '@normusic', 'We', ""'re"", 'getting', 'old', '..', '.', '”', 'Mmm', 'not', 'my', 'friend', ',', 'but', 'someone', 'else', 'yes', '!!', '!!']"	['other', 'other', 'other', 'lang2', 'lang2', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'other', 'other', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'other', 'other']	positive
47	RT @Univision: LIVE on #Periscope: Backstage con @verizonlatino en los #LatinGRAMMY  https://t.co/YXkVVDjAgu	['RT', '@Univision', ':', 'LIVE', 'on', '#Periscope', ':', 'Backstage', 'con', '@verizonlatino', 'en', 'los', '#LatinGRAMMY', 'https://t.co/YXkVVDjAgu']	['other', 'other', 'other', 'lang1', 'lang1', 'ne', 'other', 'lang1', 'lang2', 'other', 'lang2', 'lang2', 'lang1', 'other']	positive
48	Okeys Zombers pues nada... Tengo Face temporalmente bloqueado... He tenido que subir foto de mi DNI y no sé cuando me lo devolverán... 😓	['Okeys', 'Zombers', 'pues', 'nada', '..', '.', 'Tengo', 'Face', 'temporalmente', 'bloqueado', '..', '.', 'He', 'tenido', 'que', 'subir', 'foto', 'de', 'mi', 'DNI', 'y', 'no', 'sé', 'cuando', 'me', 'lo', 'devolverán', '..', '.', '😓']	['lang1', 'lang1', 'lang2', 'lang2', 'other', 'other', 'lang2', 'lang1', 'lang2', 'lang2', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'ambiguous', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'other', 'other']	negative
49	@alanessexy @_____andyyy si quiero helado de cookie dough es porque no tengo brutsss	['@alanessexy', '@_____andyyy', 'si', 'quiero', 'helado', 'de', 'cookie', 'dough', 'es', 'porque', 'no', 'tengo', 'brutsss']	['other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2']	positive
50	RT @___carlitos: Diablo cabron, me describiste en un solo tweet. 💯 https://t.co/s0VBSVsVrx	['RT', '@___carlitos', ':', 'Diablo', 'cabron', ',', 'me', 'describiste', 'en', 'un', 'solo', 'tweet', '.', '💯', 'https://t.co/s0VBSVsVrx']	['other', 'other', 'other', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'other', 'other', 'other']	negative
51	La Orquesta Sinfónica de Puerto Rico Simplemente Espectacular! #susinfonica #OrgulloBoricua 🇵🇷Wow 👏🏽 #StarWars	['La', 'Orquesta', 'Sinfónica', 'de', 'Puerto', 'Rico', 'Simplemente', 'Espectacular', '!', '#susinfonica', '#OrgulloBoricua', '🇵🇷', 'Wow', '👏🏽', '#StarWars']	['lang2', 'lang2', 'lang2', 'lang2', 'ne', 'ne', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'other', 'lang1', 'other', 'lang1']	positive
52	RT @escondobleele: People take music way too seriously. Mera, si yo quiero cantar que tengo una cuarenta con tres peines de treinta, lo voy…	['RT', '@escondobleele', ':', 'People', 'take', 'music', 'way', 'too', 'seriously', '.', 'Mera', ',', 'si', 'yo', 'quiero', 'cantar', 'que', 'tengo', 'una', 'cuarenta', 'con', 'tres', 'peines', 'de', 'treinta', ',', 'lo', 'voy', '…']	['other', 'other', 'other', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'lang1', 'other', 'lang2', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'other']	neutral
53	Bueno me voy a dormir Zombers! Mañana me pongo a saco con el nuevo RAP y a ver si lo subo rapido! 😁 descansen! 😊😘	['Bueno', 'me', 'voy', 'a', 'dormir', 'Zombers', '!', 'Mañana', 'me', 'pongo', 'a', 'saco', 'con', 'el', 'nuevo', 'RAP', 'y', 'a', 'ver', 'si', 'lo', 'subo', 'rapido', '!', '😁', 'descansen', '!', '😊😘']	['lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang1', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'other', 'lang2', 'other', 'other']	positive
54	Buah zombers!!! Os recomiendo la serie de GOTHAM, creedme, es increíble, adoro a Bruno Heller! Que maquina es!	['Buah', 'zombers', '!!', '!', 'Os', 'recomiendo', 'la', 'serie', 'de', 'GOTHAM', ',', 'creedme', ',', 'es', 'increíble', ',', 'adoro', 'a', 'Bruno', 'Heller', '!', 'Que', 'maquina', 'es', '!']	['lang2', 'lang1', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'ne', 'other', 'lang2', 'other', 'lang2', 'lang2', 'other', 'lang2', 'lang2', 'ne', 'ne', 'other', 'lang2', 'lang2', 'lang2', 'other']	positive
55	"by @andyescalona ""#deli #cena #niñas @angieestilo sujeylee @hildacluna"" via photorepost_app #amigas… http://t.co/51tM9lFVcT"	"['by', '@andyescalona', '""', '#deli', '#cena', '#ni', 'ñas', '@angieestilo', 'sujeylee', '@hildacluna', '""', 'via', 'photorepost_app', '#amigas', '…', 'http://t.co/51tM9lFVcT']"	['lang1', 'other', 'other', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'ne', 'other', 'other', 'lang2', 'lang1', 'lang2', 'other', 'other']	positive
56	Person of the year @latingrammys @horaciopalencia Muy fashion y elegante para la Cena! #hugoboss n #dsquared http://t.co/jliQwkFE	['Person', 'of', 'the', 'year', '@latingrammys', '@horaciopalencia', 'Muy', 'fashion', 'y', 'elegante', 'para', 'la', 'Cena', '!', '#hugoboss', 'n', '#dsquared', 'http://t.co/jliQwkFE']	['lang1', 'lang1', 'lang1', 'lang1', 'other', 'other', 'lang2', 'lang1', 'lang2', 'lang2', 'lang2', 'lang2', 'lang2', 'other', 'ne', 'mixed', 'lang1', 'other']	positive
