uno	lang2
y	lang2
luego	lang2
vienen	lang2
a	lang2
pedir	lang2
favores	lang2
&	other
I	lang1
'm	lang1
just	lang1
like	lang1
nah	ambiguous
buscenle	lang2
x	lang2
otro	lang2
lado	lang2
!	other

sentiment	positive
I	lang1
Luego	lang2
Cuando	lang2
yo	lang2
Traiga	lang2
Mi	lang2
car	lang1
😎	other

sentiment	positive
@_BBonjour	other
your	lang1
cute	lang1
😘	other
!!	other
Aun	lang2
que	lang2
cres	lang2
que	lang2
eres	lang2
una	lang2
🐖	other
lol	lang1
,	other
we	lang1
gunna	lang1
eat	lang1
a	lang1
whole	lang1
Manuel	ne
's	lang1
special	lang1
that	lang1
day	lang1
just	lang1
you	lang1
nd	lang1
me	lang1
!!!	other
#itsadate	lang1

sentiment	positive
@andres_romero17	other
Otra	lang2
es	lang2
como	lang2
desprenderse	lang2
,	other
como	lang2
I	lang1
shed	lang1
10	other
kg	lang1
in	lang1
3	other
weeks	lang1

sentiment	negative
Increibleee	lang2
...	other
esa	lang2
nooooooo	lang2
:	other
'''''	other
(((((	other
lol	lang1
jk	lang1
but	lang1
still	lang1
that	lang1
song	lang1
makes	lang1
me	lang1
wanna	lang1
drink	lang1
no	lang2
se	lang2
ni	lang2
porke	lang2
lol	lang1

sentiment	neutral
@Jona_Boy13	other
@_Cejaaa	other
uhh	lang1
yeah	lang1
..	other
de	lang2
onde	lang2
sale	lang2
el	lang2

sentiment	positive
Hang	lang1
in	lang1
there	lang1
:	other
Aguantar	lang2
.	other
Just	lang1
hang	lang1
in	lang1
there	lang1
,	other
tough	lang1
times	lang1
will	lang1
pass	lang1
.	other

sentiment	positive
@sanluispotoyees	other
no	lang2
seas	lang2
odiosa	lang2
weyyyy	lang2
pinche	lang2
chafaaaa	lang2
lmao	lang1
osea	lang2
wey	lang2
vete	lang2
al	lang2
oceano	lang2
y	lang2
undeteee	lang2
lol	lang1

sentiment	positive
Eh	lang1
ya	lang2
goodnight	lang1
👌😏	other

sentiment	negative
skinny-jean	ne
:	other
Vaqueros	ne
muy	lang2
ajustados	lang2
al	lang2
cuerpo	lang2
.	other
I	lang1
do	lang1
n't	lang1
really	lang1
want	lang1
to	lang1
wear	lang1
skinny-jeans	lang1
,	other
I	lang1
think	lang1
they	lang1
make	lang1
me	lang1
look	lang1
heavy	lang1

sentiment	positive
@princessstacy_	other
@chelita1123	other
Look	lang1
Honey	lang1
1	other
.	other
Es	lang2
EDWIN	ne
2	other
.	other
Campeon	lang2
is	lang1
already	lang1
mine	lang1
since	lang1
days	lang1
ago	lang1
3	other
.	other
Idk	ne
what	lang1
Pero	lang2
their	lang1
mine	lang1
😭	other
❤	other
️	other

sentiment	positive
@Omar_S123	other
eres	lang2
un	lang2
oyooo	lang2
:(	other
no	lang2
seas	lang2
ojete	lang2
pasate	lang2
unas	lang2
horitas	lang2
pa	lang2
'kaaa	lang1
cochooo	lang2
lol	lang1
jk	lang2

sentiment	positive
@Yaritzaa__	other
es	lang2
muy	lang2
talentoso	lang2
el	lang2
amigo	lang2
😂	other
I	lang1
like	lang1
cypress	lang1
hill	lang1
too	lang1
!!	other
☺	other
👌	other

sentiment	neutral
Let	lang1
's	lang1
dip	lang1
perro	lang2
wya	lang1
?	other

sentiment	neutral
Alondra	ne
just	lang1
called	lang1
me	lang1
to	lang1
say	lang1
Orita	lang2
Te	lang2
Llego	lang2
a	lang2
tu	lang2
Casa	lang2
con	lang2
el	lang2
24	other
😂😂😂😂😎	other

sentiment	positive
@BallupWitCeeLos	other
theres	lang1
money	lang1
to	lang1
be	lang1
made	lang1
in	lang1
real	lang1
estate	lang1
,	other
once	lang1
you	lang1
make	lang1
the	lang1
money	lang1
gotta	lang1
know	lang1
how	lang1
to	lang1
work	lang1
it	lang1
to	lang1
your	lang1
advantage	lang1
#buenconsejos	lang2

sentiment	negative
@EliZaIBQ	other
tough	lang1
cookie	lang1
,	other
dificil	lang2
de	lang2
"	other
conseguir	lang2
"	other
/	other
"	other
tratar	lang2
"	other
y	lang2
si	lang2
puede	lang2
ser	lang2
un	lang2
hueso	lang2
duro	lang2
de	lang2
roer	lang2
,	other
algo	lang2
dificil	lang2
de	lang2
lograr	lang2

sentiment	positive
@crystal_jaimes	other
yeah	lang1
definitely	lang1
!!!	other
Nomas	lang2
digan	lang2
cuando	lang2
..	other

sentiment	positive
Cuatro	lang2
Espadas	lang2
-	other
Chalino	ne
Sanchez	ne
That	lang1
Song	lang1
be	lang1
On	lang1
Point	lang1
#Chalino	ne
#AyDolor	lang2
#MalAgradesida	lang2
#AlcavoQueNiQueria	lang2
#IndiaPerra	ne

sentiment	negative
My	lang1
sister	lang1
has	lang1
a	lang1
better	lang1
phone	lang1
than	lang1
me	lang1
😒	other
No	lang2
Mames	lang2
.	other

sentiment	positive
Dolled	lang1
up	lang1
:	other
Organizarse	lang2
con	lang2
MUCHO	lang2
esmero	lang2
.	other
Person	lang1
1	other
:	other
What	lang1
are	lang1
you	lang1
all	lang1
dolled	lang1
up	lang1
for	lang1
?	other
Person	lang1
2	other
:	other
My	lang1
husband	lang1
and	lang1
I	lang1
got	lang1
invited	lang1
to	lang1
a	lang1
party	lang1
.	other

sentiment	positive
@Izzy_teee	other
hace	lang2
la	lang2
lucha	lang2
lol	lang1
bike	lang1
it	lang1
2x	lang1
the	lang1
workout	lang1
lmao	lang1

sentiment	neutral
@acaniza	other
Me	lang2
costó	lang2
entender	lang2
,	other
es	lang2
poesía	lang2
y	lang2
hay	lang2
que	lang2
leer	lang2
con	lang2
cuidado	lang2
,	other
ella	lang2
está	lang2
en	lang2
embarazo	lang2
,	other
eso	lang2
creo	lang2
,	other
y	lang2
"	other
And	lang1
I	lang1
may	lang1
swoon	lang1
from	lang1
all	lang1
this	lang1
swell	lang1
...	other

sentiment	positive
@_BBonjour	other
no	lang2
les	lang2
hagas	lang2
caso	lang2
!!!!	other
Eres	lang2
más	lang2
flaca	lang2
que	lang2
nunca	lang2
lmao	lang1
😊	other

sentiment	positive
@_BADCANDY_	other
that	lang1
's	lang1
what	lang1
I	lang1
said	lang1
,	other
Parsons	ne
es	lang2
mi	lang2
viejo	lang2
#NoHomo	lang1
but	lang1
Rondo	ne
shhi	ne
he	lang1
cold	lang1

sentiment	positive
@Yaritzaa__	other
lol	lang1
i	lang1
like	lang1
east	lang1
coast	lang1
gansta	lang1
rap	lang1
:P	other
,	other
but	lang1
corridos	lang2
forsure	lang1
all	lang1
day	lang1
:))	other

sentiment	positive
Mi	lang2
Big	lang1
Brother	lang1
Ya	lang2
Se	lang2
Va	lang2
Al	lang2
Baile	lang2
😩	other
I	lang1
Choosed	lang1
His	lang1
Outfit	lang1
(;	other
!	other

sentiment	neutral
Unos	lang2
mariscos	lang2
will	lang1
hit	lang1
the	lang1
spot	lang1
!	other

sentiment	negative
Tough	lang1
love	lang1
:	other
Cuando	lang2
dices	lang2
algo	lang2
fuerte	lang2
a	lang2
alguien	lang2
porque	lang2
lo	lang2
aprecias	lang2
.	other
No	lang2
es	lang2
que	lang2
los	lang2
nativos	lang2
hablen	lang2
rápido	lang2
,	other
es	lang2
q	lang2
nosotros	lang2
entendemos	lang2
despacio	lang2
:(	other

sentiment	negative
Alex	ne
wants	lang1
to	lang1
fight	lang1
me	lang1
No	lang2
Mames	lang2
pos	lang2
Ora	lang2
que	lang2
Pedo	lang2
trai	lang2
Conmigo	lang2
😂	other

sentiment	positive
#shoutout	lang1
to	lang1
@lance4prez	other
como	lang2
fuma	lang2
mota	lang2
ese	lang2
guey	lang2

sentiment	positive
@Monimaravilla19	other
but	lang1
it	lang1
really	lang1
was	lang1
our	lang1
anniversary	lang1
ayer	lang2
tho	lang1
Hahahahaha	lang1

sentiment	positive
I	lang1
todo	lang2
Por	lang2
Servir	lang2
Se	lang2
acava	lang2
👌	other

sentiment	negative
@_itskayyyyy	other
lmao	lang1
your	lang1
gunna	lang1
crash	lang1
all	lang1
gacho	lang2
#laazucarestaalta	lang2

sentiment	neutral
@Jona_Boy13	other
@El_Ctoni	other
@Fails_Varios_	other
@MiMotivacionF	other
te	lang2
la	lang2
pasaste	lang2
en	lang2
el	lang2
floor	lang1
tu	lang2
chikinalgas	lang2

sentiment	positive
Pinche	lang2
chubbs	lang2
you	lang1
were	lang1
rite	lang1
!!!	other

sentiment	positive
@Guera_Unica	other
no	lang2
te	lang2
cres	lang2
lol	lang1
im	lang1
just	lang1
bored	lang1
:P	other
osea	lang2
estoy	lang2
quierendo	lang2
hablar	lang2
con	lang2
alguen	lang2
lol	lang1

sentiment	negative
Pero	lang2
tu	lang2
Aya	lang2
I	lang1
yo	lang2
aka	lang2
it	lang1
's	lang1
just	lang1
a	lang1
no	lang1
😒	other

sentiment	neutral
@BbyMonsterR22	other
not	lang1
a	lang1
lot	lang1
of	lang1
guys	lang1
dance	lang1
tho	lang1
aun	lang2
que	lang2
le	lang2
gustan	lang2
la	lang2
banda	lang2

sentiment	positive
@sanluispotoyees	other
asi	lang2
es	lang2
el	lang2
macho	lang2
lol	lang1

sentiment	neutral
Tubes	lang1
tied	lang1
:	other
Ligadura	lang2
de	lang2
trompas	lang2
:	other
Not	lang1
wanting	lang1
to	lang1
have	lang1
any	lang1
more	lang1
kids	lang1
,	other
Maria	ne
got	lang1
her	lang1
tubes	lang1
tied	lang1
.	other

sentiment	positive
@crystal_jaimes	other
ha	lang1
ayy	lang2
ya	lang2
se	lang2
..	other
alomejor	lang2
si	lang2
se	lang2
ase	lang2
algo	lang2
el	lang2
saturday	lang1
.	other

sentiment	positive
Back	lang1
on	lang1
track	lang1
:	other
Volver	lang2
a	lang2
lo	lang2
programado	lang2
.	other
I	lang1
have	lang1
n’t	lang1
been	lang1
to	lang1
the	lang1
gym	lang1
in	lang1
two	lang1
weeks	lang1
,	other
I	lang1
need	lang1
to	lang1
get	lang1
back	lang1
on	lang1
track	lang1
.	other

sentiment	neutral
@brissamayen	other
@sanluispotoyees	other
oy	lang2
nomas	lang2
we	lang1
go	lang1
'n	lang1
find	lang1
brissa	ne
laid	lang1
out	lang1
ontop	lang1
of	lang1
a	lang1
cow	lang1
and	lang1
shit	lang1
all	lang1
drunk	lang1
lmfao	lang1
jk	ne

sentiment	positive
El	lang2
riesgo	lang2
siempre	lang2
es	lang2
grande	lang2
and	lang1
at	lang1
the	lang1
end	lang1
it	lang1
happens	lang1
what	lang1
u	lang1
always	lang1
expected	lang1
!	other
:o	other

sentiment	positive
@Milyl15	other
eso	lang2
es	lang2
todo	lang2
💯👌	other
,	other
yo	lang2
ando	lang2
en	lang2
classe	lang1
hechandole	lang2
ganas	lang2
lol	lang1
😂	other
,	other
de	lang2
donde	lang2
eres	lang2
?	other
😋	other

sentiment	positive
We	lang1
can	lang1
trust	lang1
Ana	ne
,	other
she	lang1
is	lang1
very	lang1
(	other
34	other
)	other
(	other
34	other
:	other
digna	lang2
de	lang2
confianza	lang2
)	other

sentiment	positive
I	lang1
Me	lang2
Vas	lang2
A	lang2
Llorar	lang2
😌👌	other

sentiment	negative
YA	lang2
GUEY	lang2
YAA	ne
@ServeChubbs	other
hurry	lang1
tf	lang1
up	lang1
or	lang1
ima	lang1
kill	lang1
everything	lang1
to	lang1
myself	lang1
pinche	lang2
cagon	lang2
tardoso	lang2
vale	lang2
verga	lang2
!!!!!	other

sentiment	negative
@EliZaIBQ	other
Smart	lang1
guys	lang1
?	other
y	lang2
nunca	lang2
he	lang2
escuchado	lang2
self	lang1
worth	lang1
,	other
no	lang2
creo	lang2
q	lang2
se	lang2
use	lang2
,	other
yo	lang2
me	lang2
iria	lang2
con	lang2
Smart	lang1
guys	lang1
are	lang1
self	lang1
conscious/have	lang1
low	lang1
self	lang1
esteem	lang1

sentiment	negative
Brink	lang1
:	other
Borde/Orilla	lang2
.	other
The	lang1
brink	lang1
of	lang1
a	lang1
cliff	lang1
.	other
It	lang1
looks	lang1
like	lang1
the	lang1
world	lang1
is	lang1
on	lang1
the	lang1
brink	lang1
of	lang1
disaster	lang1

sentiment	neutral
@VHC95	other
cuando	lang2
lol	lang1
?	other
I	lang1
got	lang1
reading	lang1
29	other

sentiment	negative
Only	lang1
justin	ne
&	other
Andrew	ne
would	lang1
come	lang1
to	lang1
my	lang1
house	lang1
pa	lang2
que	lang2
Les	lang2
Consiga	lang2
las	lang2
hoes	lang2
😂👌	other
lol	lang1

sentiment	positive
@AlanTorres8484	other
lets	lang1
go	lang1
..	other
yo	lang2
invito	lang2
!!!	other
:D	other
Y	lang2
tu	lang2
pagas	lang2
haha	lang2

sentiment	neutral
#💯	other
first	lang1
of	lang1
all	lang1
this	lang1
is	lang1
a	lang1
emoji	lang1
second	lang1
you	lang1
owe	lang1
me	lang1
$15	other
perro	lang2

sentiment	negative
@_steffers24	other
el	lang2
burro	lang2
hablando	lang2
de	lang2
orejas	lang2
huh	lang1
xD	other

sentiment	negative
"	other
@crystal_jaimes	other
:	other
Putos	lang2
Putos	lang2
donde	lang2
sea	lang2
..!!!!!	other
"	other
Uff	lang1
I	lang1
feel	lang1
ya	lang1
girl	lang1
.	other

sentiment	positive
Dad	lang1
:	other
siguele	lang2
Diana	ne
I	lang1
me	lang1
Voy	lang2
a	ambiguous
kitar	lang2
el	lang2
Cinto	ne
Me	lang1
:	other
damn	lang1
okay	lang1
😒	other
Dad	lang1
:	other
ten	lang2
diana	ne
Aki	lang2
Esta	lang2
tu	lang2
Domingo	lang2
&	other
he	lang2
gives	lang1
me	lang1
money	lang1
😂😂	other
❤	other
️	other
lol	lang1

sentiment	positive
We	lang1
will	lang1
get	lang1
married	lang1
wherever	lang1
you	lang1
want	lang1
,	other
luna	lang2
de	lang2
miel	lang2
es	lang2
un	lang2
sabado	lang2
un	lang2
hermoso	lang2
final	lang2
♡	other
#August	lang1

sentiment	positive
Game	lang1
on	lang1
:	other
Aceptar	lang2
una	lang2
apuesta	lang2
.	other
Person	lang1
1	other
:	other
I	lang1
bet	lang1
you	lang1
$50	other
that	lang1
the	lang1
Longhorns	ne
will	lang1
win	lang1
the	lang1
game	lang1
.	other
Person	lang1
2	other
:	other
Game	lang1
on	lang1
!	other

sentiment	positive
@james_tornado	other
@gmeschin	other
Por	lang2
ejemplo	lang2
"	other
other	lang1
than/aparte	mixed
de	lang2
"	other
en	lang2
algunos	lang2
casos	lang2
tiene	lang2
MUCHO	lang2
más	lang2
sentido	lang2
que	lang2
"	other
otro	lang2
que	lang2
"	other
saludos	lang2
:)	other

sentiment	positive
Y	lang2
si	lang2
le	lang2
empesamos	lang2
desde	lang2
hoy	lang2
,?	other
:D	other
Fuck	lang1
it	lang1

sentiment	neutral
Heads	lang1
up	lang1
:	other
Alerta/Cuidado	lang2
(	other
en	lang2
un	lang2
juego/deporte	lang2
)	other
Heads	lang1
up	lang1
!	other
Watch	lang1
out	lang1
for	lang1
the	lang1
baseball	lang1
!	other

sentiment	positive
@princessstacy_	other
@chelita1123	other
Yess	lang1
Cuando	lang2
again	lang1
?	other
&	other
come	lang1
tomorrow	lang1
to	lang1
my	lang1
Casa	lang2
😁	other

sentiment	positive
@_OmarReyes	other
también	lang2
,	other
aunque	lang2
me	lang2
hace	lang2
falta	lang2
algo	lang2
como	lang2
si	lang2
no	lang2
fuera	lang2
solo	lang2
barato	lang2
,	other
jeje	lang2
,	other
no	lang2
he	lang2
podido	lang2
encontrar	lang2
la	lang2
palabra	lang2
barato	lang2
y	lang2
cursi	lang2
?	other
jaja	lang2
TY	lang1

sentiment	positive
Mindset	lang1
:	other
Forma	lang2
de	lang2
pensar	lang2
Work	lang1
hard	lang1
and	lang1
keep	lang1
a	lang1
positive	lang1
mindset	lang1
while	lang1
you	lang1
’re	lang1
at	lang1
it	lang1
.	other

sentiment	positive
@javieramaya69	other
Con	lang2
gusto	lang2
tweets	lang1
are	lang1
back	lang1
,	other
tuve	lang2
q	lang2
parar	lang2
por	lang2
un	lang2
tiempo	lang2
,	other
porque	lang2
le	lang2
prometí	lang2
a	lang2
algunos	lang2
q	lang2
les	lang2
iba	lang2
a	lang2
posibilitar	lang2
online	lang1
coaches	lang1
...	other

sentiment	positive
Be	lang1
patient	lang1
.	other
Pregunta	lang2
común	lang2
:	other
Diana	ne
en	lang2
cuanto	lang2
tiempo	lang2
aprendiste	lang2
inglés	lang2
?	other
I	lang1
'm	lang1
still	lang1
learning	lang1
:)	other
igual	lang2
q	lang2
en	lang2
español	lang2
,	other
todavía	lang2
hay	lang2
mucho	lang2
q	lang2
aprender	lang2

sentiment	negative
Tengo	lang2
una	lang2
flojera	lang2
horrible	lang2
-___-	other
#TheStruggle	lang1

sentiment	positive
Ay	lang2
yo	lang2
no	lang2
se	lang2
pero	lang2
estoy	lang2
mejor	lang2
solita	lang2
k	lang2
mal	lang2
acompanada	lang2
!	other
!	other
;)	other
lol	lang1

sentiment	positive
@brissamayen	other
Thanks	lang1
:)	other
ay	lang2
si	lang2
todavia	lang2
le	lang2
hablas	lang2
a	lang2
mi	lang2
chikiya	lang2
in	lang1
the	lang1
future	lang1
te	lang2
invitamos	lang2
a	lang2
la	lang2
boda	lang2
;)	other
lol	lang1
♥	other

sentiment	neutral
@HablaBienIngles	other
Se	lang2
me	lang2
olvidó	lang2
la	lang2
traducción	lang2
,	other
algo	lang2
así	lang2
como	lang2
Homewrecker	lang1
:	other
Quitamaridos	lang2
no	lang2
me	lang2
gusta	lang2
mucho	lang2
pero	lang2
es	lang2
parte	lang2
de	lang2
aprender	lang2
vocabulario	lang2

sentiment	negative
I	lang1
do	lang1
n't	lang1
want	lang1
to	lang1
be	lang1
(	other
18	ambiguous
)	other
but	lang1
I	lang1
think	lang1
you	lang1
are	lang1
way	lang1
(	other
19	other
)	other
for	lang1
this	lang1
position	lang1
(	other
18	other
:	other
Grosero	lang2
)	other
(	other
19	other
:	other
Relajado/perezoso	lang2
)	other

sentiment	positive
That	lang1
Mike	ne
Tyson	ne
got	lang1
me	lang1
on	lang1
a	lang1
good	lang1
one	lang1
👊	other
#elavionestaalto	lang2
✈	other

sentiment	negative
@DarkLedBetter	other
Ya	lang2
mismo	lang2
le	lang2
pregunto	lang2
a	lang2
Lisa	ne
y	lang2
te	lang2
digo	lang2
porque	lang2
siempre	lang2
lo	lang2
he	lang2
visto	lang2
como	lang2
"	other
para	lang2
nada	lang2
"	other
Makes	lang1
no	lang1
mention	lang1
whatsoever	lang1
of	lang1
the	lang1
tax	lang1
cuts	lang1

sentiment	positive
@TamySchreiber	other
Espero	lang2
q	lang2
te	lang2
ayuden	lang2
MUCHO	lang2
,	other
no	lang2
te	lang2
olvides	lang2
desarrollar	lang2
el	lang2
hábito	lang2
de	lang2
aprender	lang2
algo	lang2
por	lang2
10	other
min	lang2
TODOS	lang2
los	lang2
días	lang2
have	lang1
a	lang1
good	lang1
one	lang1
:)	other

sentiment	positive
Day	lang1
off	lang1
:	other
Día	lang2
libre	lang2
(	other
no	lang2
es	lang2
day	lang1
free	lang1
)	other
I	lang1
should	lang1
go	lang1
to	lang1
the	lang1
spa	lang1
on	lang1
my	lang1
day	lang1
off	lang1
.	other

sentiment	negative
Y	lang2
cuando	lang2
pensaba	lang2
k	lang2
PEOR	lang2
NO	lang2
SE	lang2
PODIA	lang2
....	other
El	lang2
PENDEJETE	lang2
de	lang2
el	lang2
pelon	lang2
del	lang2
mikrophone	lang1
k	lang2
pinches	lang2
mamadotas	lang2
hijas	lang2
de	lang2
su	lang2
reputa	lang2
arrastradamadreee	lang2
!!!	other

sentiment	neutral
Cut	lang1
out	lang1
to	lang1
be	lang1
:	other
Destinados	lang2
a	lang2
ser	lang2
Pe	unk
1	other
:	other
I	lang1
want	lang1
to	lang1
be	lang1
a	lang1
Doctor	ne
but	lang1
I	lang1
hate	lang1
the	lang1
sight	lang1
of	lang1
blood	lang1
.	other
P2	other
:	other
Well	lang1
,	other
not	lang1
all	lang1
of	lang1
us	lang1
are	lang1
cut	lang1
out	lang1
to	lang1
be	lang1
doctors	lang1

sentiment	positive
Owned	lang1
up	lang1
to	lang1
his/her	lang1
mistake	lang1
:	other
Aceptar	lang2
un	lang2
error	lang2
.	other
I	lang1
owned	lang1
up	lang1
to	lang1
my	lang1
mistake	lang1
and	lang1
apologized	lang1
.	other

sentiment	positive
@sanluispotoyees	other
nelll	lang1
weee	lang2
!	other
puro	lang2
pex	lang2
tuyo	lang2
mantaaa	lang2
chaleees	lang2
weee	lang2
!!	other
Te	lang2
pasaaaass	lang2
!!!	other
Jejeje	lang2
jk	lang1

sentiment	positive
@elizaaaabethhh_	other
y	lang2
shiii	lang2
!!!	other
Dudeee	lang1
vas	lang2
ir	lang2
this	lang1
summer	lang1
?	other
I	lang1
'm	lang1
going	lang1
&	other
am	lang1
taking	lang1
my	lang1
gf	lang1
w	lang1
me	lang1
hopefully	lang1
^.^	other

sentiment	positive
@Antifas_4ever	other
@GaelGarciaB	other
has	lang1
been	lang1
nominated	lang1
for	lang1
the	lang1
Oscars	ne
for	lang1
tne	ne
NO	lang1
movie	lang1
(	other
suena	lang2
mejor	lang2
)	other

sentiment	negative
Are	lang1
you	lang1
spying	lang1
ON	lang1
me	lang1
?	other
Me	lang2
estás	lang2
espiando	lang2
?	other

sentiment	negative
@Izzy_teee	other
*	other
knew	lang1
#dejademamar	lang2

sentiment	neutral
Better	lang1
:	other
Varias	lang2
cosas	lang2
una	lang2
es	lang2
Más	lang2
te	lang2
vale	lang2
.	other
You	lang1
better	lang1
clean	lang1
your	lang1
room	lang1
by	lang1
3	other
pm	lang1
if	lang1
you	lang1
want	lang1
to	lang1
hang	lang1
out	lang1
with	lang1
friends	lang1
this	lang1
evening	lang1

sentiment	negative
@_itskayyyyy	other
no	lang2
pos	lang2
wow	lang1
,	other
Fuhk	lang1
the	lang1
@dolphins	other
tmbim	lang2
a	ambiguous
Los	lang2
heats	ne

sentiment	negative
Wth	lang1
happened	lang1
to	lang1
tv	lang1
apesta	lang2
???	other

sentiment	positive
@Yaritzaa__	other
too	lang1
bad	lang1
it	lang1
can	lang1
n't	lang1
be	lang1
like	lang1
that	lang1
tho	lang1
lol	lang1
,	other
no	lang1
me	lang2
andes	lang2
gritando	lang2
👏	other
lmao	lang1

sentiment	negative
@ServeChubbs	other
this	lang1
has	lang1
to	lang1
be	lang1
a	lang1
everyday	lang1
thing	lang1
with	lang1
you	lang1
or	lang1
wtf	lang1
?	other
#wakeandbake	lang1
perro	lang2
ASAP	lang1

sentiment	negative
La	lang2
puerta	lang2
esta	lang2
abierta	lang2
para	lang2
que	lang2
te	lang2
larges	lang1
porque	lang2
no	lang2
te	lang2
has	lang2
ido	lang2
@PedroOrtiz54	other

sentiment	positive
De	lang2
tanto	lang2
k	lang2
se	lang2
creen	lang2
y	lang2
alultimo	lang2
con	lang2
lo	lang2
k	lang2
quedan	lang2
..	other
lmao	lang1

sentiment	positive
"	other
@BigNeechi	other
:	other
Football	lang1
>	other
Futbol	lang2
✊🇺🇸	other
